movie,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
Stepmom,Baby Boy,Dry Spell,Peaceful Warrior,Enough Said,One True Thing
Daddy's Home,I Don't Know How She Does It,Moms' Night Out,The Kids Are All Right,R100,"Monsters, Inc."
Into the Woods,Ella Enchanted,Practical Magic,ParaNorman,The Huntsman: Winter's War,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Inside Man,Checkmate,Closer to the Moon,Now You See Me,The Mask,American Heist
Payback,Nine Queens,Point Blank,Sexy Beast,Cliffhanger,Run Lola Run
Congo,Planet of the Apes,Limbo,Silver Medalist,Switchback,Eye of the Beholder
We Bought a Zoo,The Little Ponderosa Zoo,Madagascar,Mr. Popper's Penguins,About Schmidt,The Patriot
Knowing,Echo Dr.,Silver Medalist,Switchback,The Devil's Double,Extreme Ops
Failure to Launch,Away We Go,Light from the Darkroom,Date Movie,No Strings Attached,Jimmy Neutron: Boy Genius
The Ring Two,Character,Camping Sauvage,Betty Fisher and Other Stories,Godsend,The Devil's Double
"Crazy, Stupid, Love.",A Fine Step,The Brothers Bloom,Lovely & Amazing,Must Love Dogs,Blue Valentine
Garfield,Garfield: A Tail of Two Kitties,Dwegons,Hotel Transylvania 2,Dick,Lilo & Stitch
Christmas with the Kranks,Deck the Halls,Love the Coopers,The Family Stone,A Charlie Brown Christmas,A Madea Christmas
Moneyball,42,The Benchwarmers,The Perfect Game,A League of Their Own,The Game of Their Lives
Outbreak,Contagion,Limbo,28 Days Later,I Am Legend,Carriers
Non-Stop,Nighthawks,Babylon A.D.,Chain of Command,Sky Captain and the World of Tomorrow,Laws of Attraction
Race to Witch Mountain,The Fifth Element,I Am Number Four,Monsters vs Aliens,Escape from Planet Earth,Star Trek: Insurrection
V for Vendetta,The Boat That Rocked,G-Force,Megiddo: The Omega Code 2,Banshee Chapter,Impostor
Shanghai Knights,Shanghai Noon,Silver Medalist,Flushed Away,Around the World in 80 Days,30 Minutes or Less
Curious George,Jungle Shuffle,Rio 2,The Book of Life,The Croods,Frozen
Herbie Fully Loaded,Cars 2,The Twilight Saga: Breaking Dawn - Part 2,The Book of Life,Joe Dirt,My Big Fat Greek Wedding 2
Don't Say a Word,The Dark Hours,Lady in White,Flightplan,Dressed to Kill,Babylon A.D.
Hansel & Gretel: Witch Hunters,The Devil's Tomb,Percy Jackson: Sea of Monsters,Mirror Mirror,The Golden Child,The Lords of Salem
Unfaithful,About Schmidt,Adulterers,The Piano,Amnesiac,Eyes Wide Shut
I Am Number Four,Limbo,The Lost World: Jurassic Park,Green Lantern,Race to Witch Mountain,The Host
Syriana,Patriot Games,Jack Ryan: Shadow Recruit,Fuel,The Sum of All Fears,JFK
13 Hours: The Secret Soldiers of Benghazi,Airlift,Echo Dr.,We Were Soldiers,Red Tails,All The Queen's Men
The Book of Life,The Brave Little Toaster,The Croods,Nicholas Nickleby,My Big Fat Greek Wedding 2,Alpha and Omega: The Legend of the Saw Tooth Cave
Firewall,Highway,A Thousand Words,Ladder 49,Below Zero,Patriot Games
Absolute Power,The Contender,My Fellow Americans,White House Down,The Devil's Double,Blood Work
G.I. Jane,Starship Troopers,Lone Survivor,Flyboys,Flight of the Intruder,The Marine 4: Moving Target
The Game,Pi,Gosford Park,My Soul to Take,The Puffy Chair,Redemption Road
Silent Hill,House at the End of the Street,30 Days of Night,The Claim,Brigham City,Twixt
The Replacements,Ice Princess,Cool Runnings,The Longest Yard,We Are Marshall,Goal!: The Dream Begins
American Reunion,"Dancer, Texas Pop. 81",American Wedding,16 to Life,Grown Ups 2,The Best Man Holiday
The Negotiator,Street Fighter,Air Force One,Changeling,The River Wild,Chain Reaction
Into the Storm,Khiladi 786,Limbo,3 Backyards,All Superheroes Must Die,Twister
Beverly Hills Cop III,Beverly Hills Cop,Beverly Hills Cop II,Action Jackson,Keanu,Hot Pursuit
Gremlins 2: The New Batch,Don't Be Afraid of the Dark,The Odd Life of Timothy Green,Seed of Chucky,Private Benjamin,Gremlins
The Judge,The Lincoln Lawyer,Aberdeen,Forsaken,A Civil Action,A Time to Kill
The Peacemaker,Under Siege 2: Dark Territory,The Train,Train,London Has Fallen,The Missing Person
Resident Evil: Apocalypse,Resident Evil: Extinction,Resident Evil,Resident Evil: Retribution,Diary of the Dead,Slither
Bridget Jones: The Edge of Reason,Bridget Jones's Diary,There's Always Woodstock,Lovely & Amazing,Raising Helen,It's a Wonderful Afterlife
Out of Time,Nine Queens,Jimmy and Judy,Frenzy,In the Valley of Elah,Police Academy
On Deadly Ground,Sorcerer,Black November,The Grey,The World Is Not Enough,There Will Be Blood
The Adventures of Sharkboy and Lavagirl,Mad Max Beyond Thunderdome,The Secret Life of Pets,The Helix... Loaded,Max Keeble's Big Move,Heartbreakers
The Beach,The Shallows,Impact Point,Brokedown Palace,Beloved,Anna and the King
Raising Helen,"Synecdoche, New York",Up,Memoirs of an Invisible Man,The Truman Show,Anything Else
Ninja Assassin,Wanted,Patriot Games,Hitman,Crank,Malone
For Love of the Game,Trouble with the Curve,The House of Mirth,Mr. 3000,Bobby Jones: Stroke of Genius,Million Dollar Arm
Striptease,Nine Queens,N-Secure,The Betrayed,I Am Wrath,Jimmy and Judy
Marmaduke,Marley & Me,My Big Fat Greek Wedding 2,The Bélier Family,Raising Helen,Cars
Hereafter,White Noise 2: The Light,Abandoned,White Noise,The Party's Over,Limbo
Murder by Numbers,Insomnia,The Secret in Their Eyes,Edge of Darkness,Nine Queens,All Good Things
Assassins,Chicago Overcoat,Harsh Times,Crank,Hitman,Sicario
Hannibal Rising,Easy Money,Red Dragon,The Iceman,Nine Queens,The Silence of the Lambs
The Story of Us,Hope Springs,The Last Five Years,When Harry Met Sally...,Crazy/Beautiful,Why Did I Get Married?
The Host,The Host,Titan A.E.,The Darkest Hour,The 5th Wave,U.F.O.
The Host,The Host,Titan A.E.,The Darkest Hour,The 5th Wave,U.F.O.
Basic,Amidst the Devil's Wings,The Death and Life of Bobby Z,Sands of Iwo Jima,xXx: State of the Union,Open Secret
Blood Work,Frenzy,Zodiac,The Bone Collector,Mindhunters,Nine Queens
The International,Lord of War,Nine Queens,Oceans,Step Up 3D,Gosford Park
Escape from L.A.,Volcano,Escape from New York,House at the End of the Drive,Water & Power,Undiscovered
The Iron Giant,The Indian in the Cupboard,Spirit: Stallion of the Cimarron,Savva. Heart of the Warrior,Growing Up Smith,The Brave Little Toaster
The Life Aquatic with Steve Zissou,Spice World,Alpha and Omega: The Legend of the Saw Tooth Cave,Supporting Characters,Incident at Loch Ness,The Secret Life of Walter Mitty
Free State of Jones,Kingdom of Heaven,Operation Chromite,Airlift,Fort McCoy,The Flowers of War
The Life of David Gale,The Blue Room,Midnight in the Garden of Good and Evil,White Noise 2: The Light,Easy Money,Double Jeopardy
Man of the House,Lone Wolf McQuade,Dazed and Confused,Hot Pursuit,The Helix... Loaded,"Big Mommas: Like Father, Like Son"
Run All Night,Kiss of Death,The Whole Ten Yards,Bubble Boy,The Tuxedo,Cop Out
Eastern Promises,We Own the Night,AWOL-72,RockNRolla,Birthday Girl,Child 44
Into the Blue,Extreme Ops,Silver Medalist,Nowhere to Run,Pirates of the Caribbean: On Stranger Tides,30 Minutes or Less
The Messenger: The Story of Joan of Arc,Flyboys,Waterloo,Red Tails,Kingdom of Heaven,The Big Parade
Your Highness,Dragonslayer,Shrek the Third,Mirrormask,DragonHeart,The Beastmaster
Dream House,Brigham City,The Trouble with Harry,The Work and the Glory,Four Single Fathers,The Orphanage
Mad City,The Relic,Night at the Museum,Collateral Damage,Echo Dr.,Sound of My Voice
Baby's Day Out,Three Men and a Baby,Superbabies: Baby Geniuses 2,Baby Geniuses,Neighbors,L!fe Happens
The Scarlet Letter,Barry Munday,Kabhi Alvida Naa Kehna,Redemption Road,September Dawn,Black Mass
Fair Game,Raising Helen,"Synecdoche, New York",The November Man,Up,The Last Station
Domino,One for the Money,Amidst the Devil's Wings,Get Rich or Die Tryin',The Jackal,War
Jade,Wonderland,The Blue Room,All Good Things,Cure,Drowning Mona
Gamer,eXistenZ,The Hunger Games: Mockingjay - Part 1,Wreck-It Ralph,Pixels,Stay Alive
Beautiful Creatures,13 Going on 30,Love Me Tender,Peggy Sue Got Married,The Haunting of Molly Hartley,The Illusionist
Death to Smoochy,Bamboozled,Casino Jack,Easy Money,Nightcrawler,Network
Zoolander 2,Zoolander,The Secret Life of Walter Mitty,The Internship,Starsky & Hutch,Duplex
The Big Bounce,Glengarry Glen Ross,The Sting,The Descendants,Blue Streak,Bottle Rocket
What Planet Are You From?,Escape from Planet Earth,Planet 51,Alien,Meet Dave,The Day the Earth Stood Still
Drive Angry,Stolen,Commando,Prince of Persia: The Sands of Time,The Call of Cthulhu,Baby's Day Out
Street Fighter: The Legend of Chun-Li,Dead Man Down,Timecop,Amidst the Devil's Wings,The Usual Suspects,Blood Ties
The One,The Helix... Loaded,Street Fighter: The Legend of Chun-Li,Timecop,First Blood,Echo Dr.
The Adventures of Ford Fairlane,Kiss Kiss Bang Bang,Hedwig and the Angry Inch,Sherlock Holmes,Skin Trade,The Medallion
The Boat That Rocked,Bandslam,Down & Out With The Dolls,Walk Hard: The Dewey Cox Story,Across the Universe,How to Lose Friends & Alienate People
Traffic,Inchon,A Walk Among the Tombstones,Lone Wolf McQuade,Clear and Present Danger,Fort McCoy
Indiana Jones and the Last Crusade,Raiders of the Lost Ark,Indiana Jones and the Temple of Doom,National Treasure,Indiana Jones and the Kingdom of the Crystal Skull,Lara Croft: Tomb Raider
Anna Karenina,The Duchess,Winnie Mandela,The Painted Veil,The Time Traveler's Wife,The Longest Ride
Chappie,Robot & Frank,Ex Machina,Bicentennial Man,RoboCop,Doctor Dolittle
The Bone Collector,Se7en,Blood Work,Kiss the Girls,Training Day,The Pledge
Panic Room,Nighthawks,Stonewall,Nine Queens,Easy Money,Dead Man Down
The Tooth Fairy,The Texas Chainsaw Massacre 2,The Texas Chain Saw Massacre,Texas Chainsaw 3D,Jennifer's Body,Maniac
Three Kings,The Lucky Ones,Miracle at St. Anna,American Sniper,The 13th Warrior,Saints and Soldiers
Child 44,Nancy Drew,Insomnia,Frailty,Cure,Eastern Promises
Rat Race,3000 Miles to Graceland,Last Vegas,What Happens in Vegas,Alpha and Omega: The Legend of the Saw Tooth Cave,The Cooler
K-PAX,Veronika Decides to Die,Planet 51,Escape from Planet Earth,What Planet Are You From?,Gothika
Kate & Leopold,The Love Letter,Timecrimes,Safety Not Guaranteed,Somewhere in Time,The Visitors
Bedazzled,Juwanna Mann,Danny Collins,13 Going on 30,Bedtime Stories,Johnny Suede
The Cotton Club,Kansas City,Across the Universe,Fame,Idlewild,La Bamba
3:10 to Yuma,Butch Cassidy and the Sundance Kid,We're the Millers,The Lone Ranger,Torque,Deuces Wild
Taken 3,I Am Wrath,Taken 2,Born Of War,Jimmy and Judy,Righteous Kill
Out of Sight,My Big Fat Greek Wedding,Meet the Fockers,The Front Page,Monster-in-Law,The Perfect Host
The Cable Guy,Should've Been Romeo,Four Single Fathers,Total Recall,Tomcats,Frances Ha
Earth,Carrie,Veer-Zaara,The Longest Ride,Yentl,The Last Song
Dick Tracy,The Yards,Donnie Brasco,Silver Medalist,Walking Tall,Birthday Girl
The Thomas Crown Affair,Amidst the Devil's Wings,Nine Queens,Mi America,Love Me Tender,The Brothers
Riding in Cars with Boys,The Last Five Years,Divine Secrets of the Ya-Ya Sisterhood,Boynton Beach Club,Lovely & Amazing,One Day
First Blood,Rambo: First Blood Part II,Silver Medalist,Bats,Journey from the Fall,The Last Stand
Solaris,Event Horizon,Ender's Game,Cargo,Interstellar,The Right Stuff
Happily N'Ever After,Delgo,Aladdin,Foodfight!,Ella Enchanted,Mirror Mirror
Mary Reilly,The Heart of Me,Code 46,May,The Quiet American,Love Letters
My Best Friend's Wedding,The Wedding Planner,My Big Fat Greek Wedding 2,"Run, Fatboy, Run",Bachelorette,Four Weddings and a Funeral
America's Sweethearts,Silent Movie,My Lucky Star,Extreme Movie,Disaster Movie,Da Sweet Blood of Jesus
Insomnia,Murder by Numbers,The Secret in Their Eyes,Sea of Love,All Good Things,Wonderland
Star Trek: First Contact,Star Trek: Insurrection,Star Trek: Nemesis,Star Trek: Generations,Star Trek V: The Final Frontier,Star Trek VI: The Undiscovered Country
Jonah Hex,Collateral Damage,I Am Wrath,Love Me Tender,White Noise 2: The Light,Desperado
Courage Under Fire,One Man's Hero,The Hurt Locker,Buffalo Soldiers,Glory,The Manchurian Candidate
Liar Liar,13 Going on 30,Heartbreakers,A Simple Wish,A Good Year,21 & Over
The Infiltrator,Nine Queens,Maria Full of Grace,Blood Ties,Easy Money,Donnie Brasco
Inchon,Operation Chromite,Fort McCoy,Gods and Generals,The Legend of Suriyothai,Patton
The Flintstones,My Big Fat Greek Wedding 2,Darkness,The Bélier Family,Over the Hedge,Ri¢hie Ri¢h
Taken 2,The November Man,Taken 3,Exiled,Commando,Man on Fire
Scary Movie 3,Extreme Movie,Disaster Movie,Khiladi 786,Jackass 3D,Attack the Block
Miss Congeniality,Miss Congeniality 2: Armed and Fabulous,"Big Mommas: Like Father, Like Son",Point Break,Nighthawks,2 Guns
Journey to the Center of the Earth,The Croods,The Helix... Loaded,National Lampoon's Vacation,Jurassic World,Journey 2: The Mysterious Island
The Princess Diaries 2: Royal Engagement,The Princess Diaries,The Four Seasons,Raising Helen,Rocket Singh: Salesman of the Year,Post Grad
The Pelican Brief,Blood Ties,Easy Money,All Good Things,The Front Page,Kill the Messenger
The Client,Donnie Brasco,Ghost Dog: The Way of the Samurai,Mickey Blue Eyes,A Time to Kill,Thinner
The Bucket List,Karachi se Lahore,Last Vegas,Room,The Naked Ape,Duets
Patriot Games,Clear and Present Danger,Jack Ryan: Shadow Recruit,Amidst the Devil's Wings,Highway,Ladder 49
Monster-in-Law,My Big Fat Greek Wedding,Divine Secrets of the Ya-Ya Sisterhood,Out of Sight,Rise of the Entrepreneur: The Search for a Better Way,And Then Came Love
Prisoners,Nine Queens,In Too Deep,Open Secret,Hostage,Deadfall
Training Day,The French Connection,Amidst the Devil's Wings,Elite Squad,Chicago Overcoat,Dark Blue
Galaxy Quest,Circle,Aliens in the Attic,My Big Fat Greek Wedding 2,Escape from Planet Earth,U.F.O.
Scary Movie 2,Extreme Movie,GirlHouse,Sorority Boys,Love and Other Catastrophes,Thir13en Ghosts
The Muppets,The Muppet Movie,The Bélier Family,Fame,Muppets Most Wanted,Ri¢hie Ri¢h
Blade,Blade II,Blade: Trinity,BloodRayne,Underworld: Awakening,Dracula Untold
Coach Carter,The Other Dream Team,Glory Road,The Mighty Macs,The Game of Their Lives,Space Jam
Changing Lanes,Mutual Friends,Nighthawks,A Most Violent Year,Dead Man Down,Raising Helen
Anaconda,A Beginner's Guide to Snuff,Incident at Loch Ness,Cecil B. Demented,The Rundown,Jaws
Coyote Ugly,Bad Grandpa,Fame,The Out-of-Towners,New Year's Eve,Superstar
Love Actually,Never Again,The Heart of Me,Boynton Beach Club,The Longest Ride,The Bubble
A Bug's Life,The Ant Bully,Antz,The Adventures of Rocky & Bullwinkle,Foodfight!,The Croods
From Hell,Devil,The Unborn,Book of Shadows: Blair Witch 2,A Beginner's Guide to Snuff,The Haunting in Connecticut 2: Ghosts of Georgia
The Specialist,The Quick and the Dead,Exiled,The Last House on the Left,Four Brothers,Dead Man's Shoes
Tin Cup,Caddyshack,Happy Gilmore,Lovely & Amazing,Original Sin,Bobby Jones: Stroke of Genius
"Yours, Mine and Ours",Eulogy,My Big Fat Greek Wedding 2,Four Single Fathers,Things We Lost in the Fire,This Christmas
Kicking & Screaming,Playing for Keeps,The Waterboy,The Greatest Game Ever Played,Cool Runnings,Up
The Hitchhiker's Guide to the Galaxy,Meet Dave,Escape from Planet Earth,Stargate: The Ark of Truth,Alien,Home
Fat Albert,Harriet the Spy,Life During Wartime,Thirteen,Nicholas Nickleby,War Horse
Resident Evil: Extinction,Resident Evil: Apocalypse,Resident Evil,Land of the Dead,Resident Evil: Afterlife,I Am Legend
Blended,Lovely & Amazing,My Big Fat Greek Wedding 2,The Holiday,Christmas Mail,Unaccompanied Minors
Last Holiday,The Royal Tenenbaums,Silver Medalist,Wild,30 Minutes or Less,Cheri
The River Wild,The Negotiator,Street Fighter,Black Mass,Air Force One,Deadfall
The Indian in the Cupboard,The Iron Giant,Growing Up Smith,Partition,Alpha and Omega: The Legend of the Saw Tooth Cave,Savva. Heart of the Warrior
Savages,Blood Ties,Nine Queens,Sabotage,The Death and Life of Bobby Z,Easy Money
Cellular,Ong Bak 2,Easy Money,Dead Man Down,Transporter 2,The Blue Room
Johnny English,Spy Kids: All the Time in the World,Last Action Hero,Invasion U.S.A.,Silver Medalist,Get Smart
The Ant Bully,A Bug's Life,The Brave Little Toaster,Spirit: Stallion of the Cimarron,Growing Up Smith,A Simple Wish
Dune,Red Tails,Enemy at the Gates,Flyboys,Letters from Iwo Jima,Fort McCoy
Across the Universe,Bandslam,Fame,The Sound of Music,The Cotton Club,La Bamba
Revolutionary Road,Mystic Pizza,Far from Heaven,Woman Thou Art Loosed,The Duchess,Maurice
16 Blocks,The Glimmer Man,Lethal Weapon 4,Bon Cop Bad Cop,Romeo Is Bleeding,Jimmy and Judy
Babylon A.D.,Mad Max,RoboCop 3,I Am Legend,Mad Max: Fury Road,The Hunger Games: Mockingjay - Part 1
The Glimmer Man,16 Blocks,Amidst the Devil's Wings,Nine Queens,Romeo Is Bleeding,Blood Ties
Multiplicity,CJ7,The Hammer,Down to Earth,The Helix... Loaded,Memoirs of an Invisible Man
Aliens in the Attic,Jimmy Neutron: Boy Genius,Meet Dave,Diary of a Wimpy Kid: Dog Days,Planet 51,The Master of Disguise
The Pledge,Double Jeopardy,All Good Things,City By The Sea,Nine Queens,Zodiac
The Producers,42nd Street,Standing Ovation,Walk Hard: The Dewey Cox Story,Alvin and the Chipmunks: The Squeakquel,Can't Stop the Music
The Phantom,Red Sonja,The Green Inferno,X-Men,Kick-Ass 2,Avengers: Age of Ultron
All the Pretty Horses,Up,Partition,Real Women Have Curves,Moonlight Mile,Raising Helen
Nixon,The Greatest Story Ever Told,Mandela: Long Walk to Freedom,Swing Vote,JFK,Race
The Ghost Writer,Devil,Swimming Pool,Limbo,Eye of the Beholder,Love Happens
Deep Rising,Life of Pi,Ice Age: Continental Drift,Serenity,Triangle,The Abyss
Miracle at St. Anna,Red Tails,Saints and Soldiers,The Great Raid,Proud,Tea with Mussolini
Curse of the Golden Flower,The Mummy: Tomb of the Dragon Emperor,Kundun,The Replacement Killers,The Grandmaster,The Children of Huang Shi
Bangkok Dangerous,Looper,Hitman,Stone Cold,The Man with the Golden Gun,Crank
Big Trouble,Silver Medalist,I Got the Hook Up,The Helix... Loaded,Death Calls,Jonah: A VeggieTales Movie
Love in the Time of Cholera,Love Letters,Veer-Zaara,The Prince of Tides,The Velocity of Gary,Forrest Gump
Shadow Conspiracy,The Mechanic,Spy Game,Invasion U.S.A.,Bully,Timecrimes
Johnny English Reborn,Octopussy,The World Is Not Enough,RED,The International,Quantum of Solace
Foodfight!,Rise of the Guardians,Return to Never Land,The Helix... Loaded,The Adventures of Rocky & Bullwinkle,Penguins of Madagascar
Argo,The Sum of All Fears,The November Man,Kill the Messenger,Confessions of a Dangerous Mind,13 Hours: The Secret Soldiers of Benghazi
